ID,Name,Address,Type,PreferredGoods
DK1355120345,Mathias Johannes Kristensen,"Møllevej 140, 2750 Ballerup",Individual,No preference
DK2370592316,Home P/S,"Åvej 87, 5000 Odense C",Company,"produce, household, medical_equipment"
DK9049270990,Øst Partner Med,"Lærkevej 23, 3000 Helsingør",Company,medical
DK4482141802,Skandinavisk Quench ApS,"Hasselvej 113, 4100 Ringsted",Company,beverages
DK9085085822,Synthesis I/S,"Dronningensgade 141, 4600 Køge",Company,"chemicals, electronics, clothing"
DK7077131430,Guld Script,"Nørremarksvej 73, 3520 Farum",Company,"food, paper"
DK7243352390,Training Fitness Engros,"Søndermarken 9, 7500 Holstebro",Company,sports
DK4518871744,Farm Digital,"Kongensgade 32, 2200 København N",Company,"electronics, produce, furniture"
DK3971203213,Thread HealthTech Textile,"Ringvejen 58, 5700 Svendborg",Company,"clothing, medical_equipment, electronics"
DK6043349038,Sølv Power Apparatus,"Solsikkevej 93, 6400 Sønderborg",Company,medical_equipment
DK3587283948,Guld Basic Pure,"Lupinvej 16, 8600 Silkeborg",Company,"cosmetics, medical_equipment, raw_materials"
DK6611356986,Child Energy Play P/S,"Kongensgade 30, 4000 Roskilde",Company,"toys, sports, luxury"
DK9438411468,Source A/S,"Fyrrevej 96, 3460 Birkerød",Company,raw_materials
DK9229469952,Tech I/S,"Skovvej 150, 2000 Frederiksberg",Company,electronics
DK1184146454,Charlotte Larsen,"Torvet 44, 9800 Hjørring",Individual,No preference
DK7750819485,Text Page Group,"Kirkevej 26, 4400 Kalundborg",Company,paper
DK1158998032,Natural Radiant Koncern,"Kløvervej 25, 4400 Kalundborg",Company,"produce, stationery, cosmetics"
DK8236980551,Chip Detail,"Højgade 41, 8000 Aarhus C",Company,electronics
DK4522855590,Lone Ravn,"Stationsvej 10, 7800 Skive",Individual,No preference
DK6463640105,Chip Hobby,"Hasselvej 105, 7000 Fredericia",Company,"toys, sports, electronics"
DK6493800024,Fynsk Systemer,"Sct. Annagade 6, 7400 Herning",Company,"sports, electronics"
DK2916728422,Element Koncern,"Højgade 64, 2820 Gentofte",Company,chemicals
DK7896596272,Brew Top Organic,"Egevej 8, 4400 Kalundborg",Company,"produce, cosmetics, beverages"
DK8598503901,Garment Script,"Fyrrevej 68, 2600 Glostrup",Company,"luxury, paper, clothing"
DK2953462417,Study Process A/S,"Dronningensgade 110, 2620 Albertslund",Company,"chemicals, stationery, beverages"
DK4131356954,Kvalitets Desk,"Sct. Annagade 138, 5800 Nyborg",Company,"clothing, stationery, food"
DK6466597005,Therapeutic Remedy,"Bakkevej 119, 5000 Odense C",Company,"medical, luxury"
DK4550353803,Energy Motion Drikke,"Stationsvej 115, 2620 Albertslund",Company,sports
DK7767115101,Charlotte Dalsgaard,"Fyrrevej 138, 3500 Værløse",Individual,No preference
DK4655730355,Løsninger Gruppe,"Birkevej 86, 3400 Hillerød",Company,medical_equipment
DK7305101214,Life Therapeutic IVS,"Egevej 15, 2820 Gentofte",Company,"luxury, medical"
DK2774884818,Med Modern Cure Holding,"Mosevej 21, 8900 Randers",Company,medical
DK1194576436,Ingeniør A/S,"Birkevej 147, 2800 Lyngby",Company,"luxury, paper, toys"
DK9902875244,Gitte Simon Christiansen,"Nørremarksvej 92, 4600 Køge",Individual,No preference
DK6474354351,Sjællandsk Food,"Poppelvej 74, 8600 Silkeborg",Company,"food, medical_equipment"
DK1596471620,Rød Assist Hobby,"Rosenvej 109, 9800 Hjørring",Company,"toys, medical"
DK6618926823,Precision Instrument Koncern,"Tulipanvej 77, 8700 Horsens",Company,"produce, medical_equipment, food"
DK1471997674,Fabric Interior IVS,"Vibevej 56, 2800 Lyngby",Company,"furniture, clothing"
DK7045593274,Kongelig Interior Stitch,"Vestergade 135, 8700 Horsens",Company,"toys, household, clothing"
DK3846570058,Medical Formula,"Rosenvej 124, 2100 København Ø",Company,"food, chemicals, medical_equipment"
DK7487012742,Comfort Bio Decor K/S,"Lillegade 77, 2635 Ishøj",Company,furniture
DK8250302474,Rikke Gitte Christensen,"Birkevej 149, 9800 Hjørring",Individual,No preference
DK5489485517,Spedition Group,"Birkevej 18, 2600 Glostrup",Company,"beverages, medical_equipment"
DK7608153267,Pharma Modern Life,"Højgade 1, 4100 Ringsted",Company,"luxury, food, medical"
DK4178659381,Skin Style Textile IVS,"Ahornvej 48, 1000 København K",Company,"cosmetics, medical, clothing"
DK4468468836,Maria Winther,"Mosevej 76, 6000 Kolding",Individual,No preference
DK9272277508,Europæisk Derma Delicacy Koncern,"Syrenvej 37, 4300 Holbæk",Company,"food, cosmetics"
DK4176118012,Pernille Oscar Mogensen,"Storegade 48, 7100 Vejle",Individual,No preference
DK8151583833,Beverage P/S,"Hovedgaden 45, 6100 Haderslev",Company,"luxury, beverages"
DK5376302686,Hydration Beverage Hydration,"Mosevej 74, 5000 Odense C",Company,beverages
DK8380507338,Home Joint Living,"Egevej 98, 7500 Holstebro",Company,furniture
DK3796581976,Script K/S,"Kastanjevej 139, 7400 Herning",Company,"paper, luxury, medical_equipment"
DK4965395580,Training ApS,"Åvej 38, 5000 Odense C",Company,"medical_equipment, sports"
DK4645120421,Europæisk Med Handel ApS,"Østergade 105, 1500 København V",Company,"medical, paper"
DK5898890707,Sort Bottle Group,"Østergade 81, 3400 Hillerød",Company,"beverages, furniture, luxury"
